,user_idx
0,0.000247779762914001
1,0.000371669644370835
2,0.00037819016444751635
3,0.000123889881456945
4,0.00018909508222375818
5,0.00030646444360402184
6,0.0003651491242941537
7,0.000639010967514769
8,0.00021517716253048342
9,0.0001695335219937142
10,0.00013041040153362633
11,0.00023473872276052739
12,0.0006129288872080437
13,0.00013693092161030763
14,0.0003455875640641098
15,0.00018257456214707684
16,0.00074333928874167
17,0.00018909508222375818
18,0.0012128167342627249
19,0.00019561560230043948
20,0.0011410910134192302
21,0.0003586286042174724
22,0.00027386184322061527
23,0.0005542442065179119
24,0.0014084323365631643
25,0.00025430028299057135
26,0.0025625643901357573
27,0.0002412592428372087
28,0.0001695335219937142
29,0.0007302982485883074
30,0.0007955034493551205
31,0.0007955034493551205
32,0.000886790730428659
33,0.0005346826462878679
34,0.00024777976291389
35,0.00039775172467756026
36,0.0008020239694318019
37,0.00021517716253048342
38,0.00011084884130358238
39,0.0004042722447542416
40,0.0006324904474380876
41,0.00026082080306725266
42,0.000123889881456945
43,0.00019561560230043948
44,0.00049555952582778
45,0.00038471068452419765
46,0.0005346826462878679
47,0.0013627886960263951
48,0.0011671730937259557
49,0.0001630130019170329
50,0.0004433953652143295
51,0.0003129849636807032
52,0.00013041040153362633
53,0.00030646444360402184
54,0.000619449407284725
55,0.0005933673269779997
56,0.0008476676099685711
57,0.00026734132314393396
58,0.0008020239694318019
59,0.00019561560230043948
60,0.0002021361223771208
61,0.0006781340879748568
62,0.00043035432506096684
63,0.00014997196176367027
64,0.0006324904474380876
65,0.0003651491242941537
66,0.00029342340345065923
67,0.0003195054837573845
68,0.0005346826462878679
69,0.00046947744552105477
70,0.0009650369713488348
71,0.00013693092161030763
72,0.00018909508222375818
73,0.00011736936138026369
74,0.0005216416061345053
75,0.00013041040153362633
76,0.00014997196176367027
77,0.00022169768260716475
78,0.0010367626921923292
79,0.0003455875640641098
80,0.0001695335219937142
81,0.001010680611885604
82,0.0005477236864412305
83,0.002119169024921428
84,0.0008281060497385271
85,0.00014345144168698896
86,0.000619449407284725
87,0.00030646444360402184
88,0.00023473872276052739
89,0.0013758297361797576
90,0.0005738057667479559
91,0.0006976956482049008
92,0.00013041040153362633
93,0.0001695335219937142
94,0.00018909508222375818
95,0.0001630130019170329
96,0.00018909508222375818
97,0.0027320979121294715
98,0.00013041040153362633
99,0.0009585164512721535
100,0.004218776489612812
101,0.00014997196176367027
102,0.00028690288337397793
103,0.0005281621262111866
104,0.00014997196176367027
105,0.0003521080841407911
106,0.0005216416061345053
107,0.0001630130019170329
108,0.00019561560230043948
109,0.00018257456214707684
110,0.00018257456214707684
111,0.000639010967514769
112,0.0005803262868246371
113,0.0004433953652143295
114,0.00024777976291389
115,0.001030242172115648
116,0.00014997196176367027
117,0.00028690288337397793
118,0.00021517716253048342
119,0.0001695335219937142
120,0.00041731328490760423
121,0.00037819016444751635
122,0.0002021361223771208
123,0.0007759418891250767
124,0.0005020800459044613
125,0.00049555952582778
126,0.0001630130019170329
127,0.0007824624092017579
128,0.000123889881456945
129,0.0001630130019170329
130,0.0001630130019170329
131,0.0015127606577900654
132,0.00014345144168698896
133,0.0009715574914255161
134,0.0005803262868246371
135,0.00018257456214707684
136,0.00026082080306725266
137,0.001591006898710241
138,0.00022821820268384605
139,0.0004368748451376482
140,0.0013562681759497137
141,0.0011606525736492742
142,0.0029798776750433616
143,0.0003521080841407911
144,0.00025430028299057135
145,0.0003129849636807032
146,0.001877909782084219
147,0.00020865664245380212
148,0.0001695335219937142
149,0.00021517716253048342
150,0.0001630130019170329
151,0.00013041040153362633
152,0.00042383380498428553
153,0.0003521080841407911
154,0.0006324904474380876
155,0.00013693092161030763
156,0.00020865664245380212
157,0.00021517716253048342
158,0.0002021361223771208
159,0.0001695335219937142
160,0.0002021361223771208
161,0.0004564364053676921
