,0
0,40.806465130117914
1,14.373373965079994
2,20.06646296183448
3,27.439081414746497
4,53.04152152053685
5,34.74461997590424
6,28.028390237885127
7,38.56798258765977
8,44.508255929837425
9,78.47908467848488
10,55.15021416721771
11,25.363923472516458
12,28.74383047415948
13,41.97383616756158
14,22.20268959380065
15,44.024884411386395
16,48.30980168291437
17,60.11193101334785
18,17.09643921296506
19,15.672948486535082
20,31.806216166517594
21,37.21755955446694
22,45.56220607777773
23,51.61037266196355
24,34.30037905900818
25,46.06984172961092
26,27.673182866724872
27,20.709665451899323
28,52.45390890233713
29,50.1200833309028
30,8.027074565644437
31,48.444076770139475
32,52.40323432865136
33,38.692314408715035
34,35.8348482871218
35,55.537667443312124
36,38.50670864908282
37,28.34064664027027
38,16.488374616215456
39,30.52057174213151
40,28.846888194759423
41,9.530292123001818
42,33.43746722456575
43,6.80931477966828
44,54.262019338693165
45,37.71742922318355
46,27.425062507126306
47,18.131850495968877
48,14.46766975906249
49,47.21612415302279
50,15.14511430324579
51,7.587615161700753
52,22.193042493700617
53,23.55254590566151
54,23.055214621358772
55,26.957441637826975
56,30.146661157565628
57,42.88108777062944
58,65.9138462063654
59,21.462611877948525
60,43.16977880143459
61,18.35911618614901
62,41.36789225529892
63,17.83200255273855
64,22.38661242350108
65,42.45140439721623
66,16.987336272744592
67,43.0272517284706
68,33.99260007767535
69,34.291013822447155
70,28.411970770965727
71,35.946310507168484
72,39.35979680566902
73,24.263333707705765
74,60.93271795312776
75,38.22454302901291
76,18.520205814404413
77,23.4889157539131
78,54.05322165697317
79,16.284399432157187
80,31.5452354400289
81,26.894238580238945
82,25.17947253138924
83,39.36920378650681
84,41.90242526282416
85,70.37416677427632
86,17.051455062230332
87,28.138092795311277
88,54.207996869833174
89,18.061831449703607
90,29.756666829455945
91,39.15132881172447
92,68.83406042231505
93,33.79879067439619
94,18.183017660160385
95,14.832267808046673
96,53.31207516877955
97,13.752652102236752
98,29.043341716344823
99,21.127304617607674
100,45.242606254373705
101,27.517967829716707
102,18.532738062690296
103,28.776047640623414
104,18.444643035518315
105,39.415853596231855
106,57.00711401825968
107,8.666720680817182
108,32.81119072379589
109,19.892495304658688
110,23.008358416751005
111,40.38818110733173
112,56.633169083276805
113,56.23044124280455
114,18.675091997531403
115,19.58545217376072
116,17.516907053111026
117,9.394261242199462
118,47.037622606285424
119,28.073420949293787
120,22.19881384945868
121,44.29395444765896
122,38.10257129763467
123,37.31851290925807
124,32.798298108974
125,27.064573027286954
126,32.83642062440023
127,70.41159161122165
128,51.2868304680134
129,22.482177157122432
130,10.866742673708247
131,39.58728257658211
132,8.788637872324312
133,39.6296763178069
134,37.71344864273963
135,13.472314501271953
136,40.48519367431788
137,18.323673811253897
138,5.976623779882299
139,36.626105248505965
140,74.09554520229514
141,46.276849050291126
142,68.62937530184978
143,13.993275378900014
144,49.1284959449584
145,10.841026180354136
146,26.997864167127666
147,27.283772239965355
148,39.06939497153979
149,18.697207529132417
150,28.956155609880664
151,50.95525701867224
152,45.8912009139764
153,33.387632397570016
154,46.6631410988718
155,45.5852967553736
156,11.730013651973497
157,18.028354292200575
158,31.18749774136665
159,5.0
160,38.13629600388683
161,29.97483357075581
162,40.1795387691515
163,49.11888621658239
164,30.747809231603533
165,31.56330430334326
166,58.66983659774384
167,32.90599238988607
168,42.61866198229986
169,60.97120501673313
170,26.022478968654035
